date,Custom Index
2014-01-10,61.133316
2014-01-13,60.24087
2014-01-14,60.91813
2014-01-15,61.153843
2014-01-16,61.115555
2014-01-17,61.044037
2014-01-21,61.03528
2014-01-22,61.13736
2014-01-23,60.701607
2014-01-24,59.375786
2014-01-27,59.105824
2014-01-28,59.646687
2014-01-29,59.13637
2014-01-30,59.82948
2014-01-31,59.528103
2014-02-03,57.920223
2014-02-04,58.347866
2014-02-05,58.248356
2014-02-06,59.055977
2014-02-07,59.61516
2014-02-10,59.672653
2014-02-11,60.355236
2014-02-12,60.50523
2014-02-13,61.021362
2014-02-14,60.9602
2014-02-18,60.93998
2014-02-19,60.688755
2014-02-20,61.10517
2014-02-21,61.111713
2014-02-24,61.447704
2014-02-25,61.48397
2014-02-26,61.535984
2014-02-27,61.76261
2014-02-28,61.83614
2014-03-03,61.547756
2014-03-04,62.516346
2014-03-05,62.337524
2014-03-06,62.41695
2014-03-07,62.46511
2014-03-10,62.463676
2014-03-11,62.15888
2014-03-12,62.199467
2014-03-13,61.503185
2014-03-14,61.512527
2014-03-17,61.929085
2014-03-18,62.301826
2014-03-19,61.838215
2014-03-20,62.150406
2014-03-21,62.03052
2014-03-24,61.58406
2014-03-25,61.77249
2014-03-26,61.17395
2014-03-27,61.12664
2014-03-28,61.465572
2014-03-31,62.1065
2014-04-01,62.588554
2014-04-02,62.785107
2014-04-03,62.63906
2014-04-04,61.782684
2014-04-07,60.94011
2014-04-08,61.247433
2014-04-09,61.789112
2014-04-10,60.443314
2014-04-11,59.87707
2014-04-14,60.434074
2014-04-15,60.809067
2014-04-16,61.447105
2014-04-17,61.548958
2014-04-21,61.642853
2014-04-22,62.042133
2014-04-23,61.90137
2014-04-24,61.81998
2014-04-25,61.20211
2014-04-28,61.267532
2014-04-29,61.495823
2014-04-30,61.77727
2014-05-01,61.79045
2014-05-02,61.861618
2014-05-05,62.000107
2014-05-06,61.497852
2014-05-07,61.85625
2014-05-08,61.808315
2014-05-09,61.83934
2014-05-12,62.45018
2014-05-13,62.33659
2014-05-14,62.092808
2014-05-15,61.47745
2014-05-16,61.699886
2014-05-19,61.977257
2014-05-20,61.3439
2014-05-21,61.743263
2014-05-22,61.885605
2014-05-23,62.18973
2014-05-27,62.558056
2014-05-28,62.545475
2014-05-29,62.826485
2014-05-30,62.88492
2014-06-02,63.030704
2014-06-03,62.973663
2014-06-04,63.181305
2014-06-05,63.704273
2014-06-06,63.83892
2014-06-09,63.769745
2014-06-10,63.558006
2014-06-11,63.33429
2014-06-12,62.811054
2014-06-13,63.02925
2014-06-16,63.052097
2014-06-17,63.166115
2014-06-18,63.670364
2014-06-19,63.72483
2014-06-20,63.78603
2014-06-23,63.75082
2014-06-24,63.51743
2014-06-25,63.653603
2014-06-26,63.632885
2014-06-27,63.757484
2014-06-30,63.687748
2014-07-01,64.07765
2014-07-02,64.04352
2014-07-03,64.398445
2014-07-07,64.13471
2014-07-08,63.720078
2014-07-09,64.084816
2014-07-10,63.901455
2014-07-11,64.014626
2014-07-14,64.12991
2014-07-15,64.07963
2014-07-16,64.405174
2014-07-17,63.728764
2014-07-18,64.297165
2014-07-21,64.05892
2014-07-22,64.45519
2014-07-23,64.30556
2014-07-24,64.41608
2014-07-25,64.380684
2014-07-28,64.330414
2014-07-29,64.1127
2014-07-30,64.088326
2014-07-31,62.936256
2014-08-01,63.01935
2014-08-04,63.283714
2014-08-05,62.654915
2014-08-06,62.14473
2014-08-07,61.845875
2014-08-08,62.521984
2014-08-11,62.723194
2014-08-12,62.596825
2014-08-13,62.97937
2014-08-14,63.35361
2014-08-15,63.23184
2014-08-18,63.80204
2014-08-19,64.13047
2014-08-20,64.24286
2014-08-21,64.32436
2014-08-22,64.22605
2014-08-25,64.43748
2014-08-26,64.59051
2014-08-27,64.55454
2014-08-28,64.50307
2014-08-29,64.63933
2014-09-02,64.61742
2014-09-03,64.63627
2014-09-04,64.66391
2014-09-05,64.972176
2014-09-08,64.723015
2014-09-09,64.24148
2014-09-10,64.31499
2014-09-11,64.41553
2014-09-12,63.886032
2014-09-15,63.740273
2014-09-16,64.14639
2014-09-17,64.16934
2014-09-18,64.36644
2014-09-19,64.36813
2014-09-22,63.60759
2014-09-23,63.188873
2014-09-24,63.813705
2014-09-25,62.858013
2014-09-26,63.291996
2014-09-29,63.049904
2014-09-30,62.86154
2014-10-01,62.037388
2014-10-02,62.15195
2014-10-03,62.768784
2014-10-06,62.566692
2014-10-07,61.654663
2014-10-08,62.684498
2014-10-09,61.597992
2014-10-10,61.06818
2014-10-13,60.170414
2014-10-14,60.503513
2014-10-15,60.027954
2014-10-16,60.44656
2014-10-17,61.131203
2014-10-20,61.718052
2014-10-21,63.117813
2014-10-22,62.496372
2014-10-23,63.18847
2014-10-24,63.54356
2014-10-27,63.738323
2014-10-28,64.44099
2014-10-29,64.22764
2014-10-30,65.15948
2014-10-31,65.51973
2014-11-03,65.62466
2014-11-04,65.45818
2014-11-05,65.814705
2014-11-06,66.12723
2014-11-07,66.225655
2014-11-10,66.40616
2014-11-11,66.39083
2014-11-12,66.470314
2014-11-13,66.55978
2014-11-14,66.509796
2014-11-17,66.56717
2014-11-18,66.95859
2014-11-19,66.8988
2014-11-20,67.08211
2014-11-21,67.40044
2014-11-24,67.6969
2014-11-25,67.752686
2014-11-26,67.95606
2014-11-28,68.08703
2014-12-01,67.52287
2014-12-02,67.89087
2014-12-03,68.248764
2014-12-04,68.225845
2014-12-05,68.348625
2014-12-08,67.89016
2014-12-09,67.95531
2014-12-10,66.983284
2014-12-11,67.58941
2014-12-12,66.8256
2014-12-15,66.49494
2014-12-16,65.95625
2014-12-17,67.08917
2014-12-18,68.42727
2014-12-19,68.53117
2014-12-22,68.99797
2014-12-23,69.2465
2014-12-24,69.27245
2014-12-26,69.48011
2014-12-29,69.56403
2014-12-30,69.22933
2014-12-31,68.65379
2015-01-02,68.74868
2015-01-05,67.59226
2015-01-06,67.07762
2015-01-07,68.00194
2015-01-08,69.23349
2015-01-09,68.68763
2015-01-12,68.196
2015-01-13,68.04761
2015-01-14,67.448524
2015-01-15,66.89232
2015-01-16,67.61574
2015-01-20,67.56597
2015-01-21,67.85965
2015-01-22,68.81519
2015-01-23,68.631676
2015-01-26,68.776
2015-01-27,68.26862
2015-01-28,67.61304
2015-01-29,68.203064
2015-01-30,67.08673
2015-02-02,67.67999
2015-02-03,68.58462
2015-02-04,68.49093
2015-02-05,69.094955
2015-02-06,68.712135
2015-02-09,68.3421
2015-02-10,69.224464
2015-02-11,69.25039
2015-02-12,70.0402
2015-02-13,70.38099
